Metodo,Dist,RT,Escenc,Mapa,ED,FO,G,E,U,T,TO
HEURISTICA,CLOUD,MEDIUM,,1000,6000,2.34,14,9933,0.4764,9.22,
HEURISTICA,CLOUD,MEDIUM,,1000,6000,2.4,9,10780,0.4322,9.41,
HEURISTICA,CLOUD,MEDIUM,,1000,6000,2.24,12,9615,0.4925,8.9,
HEURISTICA,CLOUD,MEDIUM,,1000,6000,2.38,12,10226,0.58,9.32,
HEURISTICA,CLOUD,MEDIUM,,1000,8000,1.77,15,14363,0.4499,16.93,
HEURISTICA,CLOUD,MEDIUM,,1000,8000,1.71,13,14094,0.572,19.58,
HEURISTICA,CLOUD,MEDIUM,,1000,8000,1.65,12,13641,0.6003,18.94,
HEURISTICA,CLOUD,MEDIUM,,1000,8000,1.64,15,12052,0.4449,14.625,
HEURISTICA,CLOUD,MEDIUM,,1000,8000,1.54,12,12374,0.8085,18.15,
HEURISTICA,CLOUD,MEDIUM,,1000,10000,1.1,14,15751,0.7842,29.66,
HEURISTICA,CLOUD,MEDIUM,,1000,10000,1.16,11,18734,0.6743,31.2,
HEURISTICA,CLOUD,MEDIUM,,1000,10000,1.21,19,16235,0.5856,33.25,
HEURISTICA,CLOUD,MEDIUM,,1000,10000,1.15,19,14977,0.5593,27.32,
HEURISTICA,CLOUD,MEDIUM,,1000,10000,1.21,16,17008,0.8896,38.31,
HEURISTICA,CLOUD,MEDIUM,,1000,15000,1.63,18,24980,0.6594,87.09,
HEURISTICA,CLOUD,MEDIUM,,1000,15000,1.8,9,31592,1,63.12,
HEURISTICA,CLOUD,MEDIUM,,1000,15000,1.72,21,25541,0.7194,77.14,
HEURISTICA,CLOUD,MEDIUM,,1000,15000,1.44,13,22934,0.8058,80.53,
HEURISTICA,CLOUD,MEDIUM,,1000,15000,1.58,17,24181,0.758,82.69,
HEURISTICA,CLOUD,MEDIUM,,1000,20000,1.92,18,30581,0.7762,174.38,
HEURISTICA,CLOUD,MEDIUM,,1000,20000,2.04,22,31474,0.8203,170.56,
HEURISTICA,CLOUD,MEDIUM,,1000,20000,1.7,17,26511,1,151.63,
HEURISTICA,CLOUD,MEDIUM,,1000,20000,1.92,20,29701,0.8553,126.48,
HEURISTICA,CLOUD,MEDIUM,,1000,20000,2.03,19,32448,0.8093,147.36,
HEURISTICA,CLOUD,MEDIUM,,1000,25000,2.32,25,37682,0.9653,286.49,
HEURISTICA,CLOUD,MEDIUM,,1000,25000,2.34,25,36089,1,246.2,
HEURISTICA,CLOUD,MEDIUM,,1000,25000,2.31,20,37542,0.9292,287.83,
HEURISTICA,CLOUD,MEDIUM,,1000,25000,2.29,17,38196,1,290.46,
HEURISTICA,CLOUD,MEDIUM,,1000,25000,2.33,24,36372,0.8373,293.23,
HEURISTICA,CLOUD,MEDIUM,,1000,30000,2.65,25,42312,1,395.24,
HEURISTICA,CLOUD,MEDIUM,,1000,30000,2.71,26,43045,0.9522,453.14,
HEURISTICA,CLOUD,MEDIUM,,1000,30000,2.71,21,44961,1,453.48,
HEURISTICA,CLOUD,MEDIUM,,1000,30000,2.68,20,44915,1,452.29,
HEURISTICA,CLOUD,MEDIUM,,1000,30000,2.62,28,40326,1,454.36,
HEURISTICA,CLOUD,MEDIUM,,1000,35000,2.84,22,47193,1,673.45,
HEURISTICA,CLOUD,MEDIUM,,1000,35000,2.97,25,48668,1,691.32,
HEURISTICA,CLOUD,MEDIUM,,1000,35000,2.88,21,48382,1,676.67,
HEURISTICA,CLOUD,MEDIUM,,1000,35000,3.07,26,50223,1,704.6,
HEURISTICA,CLOUD,MEDIUM,,1000,35000,2.88,24,47323,1,666.1,
HEURISTICA,CLOUD,MEDIUM,,1000,40000,3.32,27,54897,1,930.52,
HEURISTICA,CLOUD,MEDIUM,,1000,40000,3.38,24,57166,1,944.6,
HEURISTICA,CLOUD,MEDIUM,,1000,40000,3.54,29,58491,1,828.71,
HEURISTICA,CLOUD,MEDIUM,,1000,40000,3.52,23,60375,1,990.66,
HEURISTICA,CLOUD,MEDIUM,,1000,40000,4.14,15,76120,1,695.49,
CPLEX,UNIFORME,MEDIUM,,1000,4000,7.87,40,7035,0.0536,957.96,
CPLEX,UNIFORME,MEDIUM,,1000,4000,8.01,43,7109,0.0501,1050.45,
CPLEX,UNIFORME,MEDIUM,,1000,4000,7.85,40,7001,0.0633,1178.33,
CPLEX,UNIFORME,MEDIUM,,1000,4000,8.35,37,7567,0.0578,1169.64,
CPLEX,UNIFORME,MEDIUM,,1000,4000,8.33,40,7480,0.0701,976.45,
HEURISTICA,UNIFORME,MEDIUM,,1000,4000,10.65,22,9924,0.3647,4.6,
HEURISTICA,UNIFORME,MEDIUM,,1000,4000,16.15,9,15244,0.9325,3.1,
HEURISTICA,UNIFORME,MEDIUM,,1000,4000,11.18,17,10495,0.4468,4.32,
HEURISTICA,UNIFORME,MEDIUM,,1000,4000,11.9,14,10997,0.7945,4.37,
HEURISTICA,UNIFORME,MEDIUM,,1000,4000,16.06,9,15383,0.6357,3.31,
HEURISTICA,UNIFORME,MEDIUM,,1000,6000,3.34,27,13689,0.4283,10.18,
HEURISTICA,UNIFORME,MEDIUM,,1000,6000,4.45,17,15097,0.5876,11.25,
HEURISTICA,UNIFORME,MEDIUM,,1000,6000,3.37,20,14588,0.3817,11.67,
HEURISTICA,UNIFORME,MEDIUM,,1000,6000,3.35,24,14006,0.4434,11.81,
HEURISTICA,UNIFORME,MEDIUM,,1000,6000,3.48,21,14789,0.6457,9.77,
HEURISTICA,UNIFORME,MEDIUM,,1000,8000,2.45,21,19820,0.5876,23.22,
HEURISTICA,UNIFORME,MEDIUM,,1000,8000,2.42,23,19147,0.534,19.09,
HEURISTICA,UNIFORME,MEDIUM,,1000,8000,2.88,12,25766,0.8511,18.17,
HEURISTICA,UNIFORME,MEDIUM,,1000,8000,2.34,20,18974,0.529,23.05,
HEURISTICA,UNIFORME,MEDIUM,,1000,8000,2.38,23,18878,0.489,19.37,
HEURISTICA,UNIFORME,MEDIUM,,1000,10000,1.68,25,23123,0.6628,35.44,
HEURISTICA,UNIFORME,MEDIUM,,1000,10000,1.6,21,23098,0.5355,39.13,
HEURISTICA,UNIFORME,MEDIUM,,1000,10000,1.71,21,25160,0.8036,39.05,
HEURISTICA,UNIFORME,MEDIUM,,1000,10000,1.69,24,23697,0.6638,31.15,
HEURISTICA,UNIFORME,MEDIUM,,1000,10000,1.64,23,23150,0.6112,37.79,
HEURISTICA,UNIFORME,MEDIUM,,1000,15000,2.14,27,31746,0.4674,106.8,
HEURISTICA,UNIFORME,MEDIUM,,1000,15000,2.32,28,34717,0.6597,108.94,
HEURISTICA,UNIFORME,MEDIUM,,1000,15000,2.28,22,36101,0.7816,103.84,
HEURISTICA,UNIFORME,MEDIUM,,1000,15000,2.3,23,36152,0.7398,106.49,
HEURISTICA,UNIFORME,MEDIUM,,1000,15000,2.24,25,34193,0.6888,94.72,
HEURISTICA,UNIFORME,MEDIUM,,1000,20000,2.84,33,43125,0.6962,191.16,
HEURISTICA,UNIFORME,MEDIUM,,1000,20000,2.76,30,42581,0.7597,217.3,
HEURISTICA,UNIFORME,MEDIUM,,1000,20000,2.76,30,42463,0.8656,182.09,
HEURISTICA,UNIFORME,MEDIUM,,1000,20000,2.8,28,44281,0.6317,213.32,
HEURISTICA,UNIFORME,MEDIUM,,1000,20000,2.67,33,39782,0.6979,205.7,
HEURISTICA,UNIFORME,MEDIUM,,1000,25000,3.25,34,50887,0.7714,340.31,
HEURISTICA,UNIFORME,MEDIUM,,1000,25000,3.14,27,51509,0.7283,371.01,
HEURISTICA,UNIFORME,MEDIUM,,1000,25000,3.34,32,53242,0.8518,369.62,
HEURISTICA,UNIFORME,MEDIUM,,1000,25000,3.34,29,54443,0.9176,367.34,
HEURISTICA,UNIFORME,MEDIUM,,1000,25000,3.24,30,52163,0.7208,374.03,
HEURISTICA,UNIFORME,MEDIUM,,1000,30000,3.76,30,62569,0.8386,597.36,
HEURISTICA,UNIFORME,MEDIUM,,1000,30000,3.62,32,59125,0.6739,588.82,
HEURISTICA,UNIFORME,MEDIUM,,1000,30000,3.67,34,59113,0.819,600.82,
HEURISTICA,UNIFORME,MEDIUM,,1000,30000,3.62,32,62874,0.8179,594.66,
HEURISTICA,UNIFORME,MEDIUM,,1000,30000,3.82,34,62110,0.831,574.43,
HEURISTICA,UNIFORME,MEDIUM,,1000,35000,4.06,39,64935,0.7266,861.2,
HEURISTICA,UNIFORME,MEDIUM,,1000,35000,4.14,37,67398,0.9034,857.48,
HEURISTICA,UNIFORME,MEDIUM,,1000,35000,4.04,43,62893,0.8681,777.91,
HEURISTICA,UNIFORME,MEDIUM,,1000,35000,4.11,35,67473,0.9517,861.85,
HEURISTICA,UNIFORME,MEDIUM,,1000,35000,4.19,33,69798,0.9802,837.41,
HEURISTICA,UNIFORME,MEDIUM,,1000,40000,4.79,38,79896,1,1086.24,
HEURISTICA,UNIFORME,MEDIUM,,1000,40000,4.54,44,72540,0.8078,1094.05,
HEURISTICA,UNIFORME,MEDIUM,,1000,40000,4.51,36,75038,0.9994,1177.77,
HEURISTICA,UNIFORME,MEDIUM,,1000,40000,4.64,39,76518,1,1183.64,
HEURISTICA,UNIFORME,MEDIUM,,1000,40000,4.7,39,77643,0.9123,1032.91,
CPLEX,CLOUD,SOFT,SI,100,20,7.52,3,86,0.0058,0.28,
CPLEX,CLOUD,SOFT,SI,100,20,10.02,5,102,0.004,0.14,
CPLEX,CLOUD,SOFT,SI,100,20,9.12,3,119,0.0045,0.18,
CPLEX,CLOUD,SOFT,SI,100,20,8.18,3,100,0.0045,0.2,
CPLEX,CLOUD,SOFT,SI,100,20,7.6,3,88,0.005,0.17,
CPLEX,CLOUD,SOFT,NO,100,20,2.12,1,20,0.003,1.15,
CPLEX,CLOUD,SOFT,NO,100,20,2.16,1,20,0.0041,1.36,
CPLEX,CLOUD,SOFT,NO,100,20,2.11,1,20,0.0028,1.34,
CPLEX,CLOUD,SOFT,NO,100,20,2.16,1,20,0.004,0.92,
CPLEX,CLOUD,SOFT,NO,100,20,2.13,1,20,0.0033,1.44,
HEURISTICA,CLOUD,SOFT,SI,100,20,9.05,4,96,0.0065,0.001,
HEURISTICA,CLOUD,SOFT,SI,100,20,11.61,5,128,0.0055,0.001,
HEURISTICA,CLOUD,SOFT,SI,100,20,9.98,4,113,0.0085,0.001,
HEURISTICA,CLOUD,SOFT,SI,100,20,8.55,3,108,0.004,0.001,
HEURISTICA,CLOUD,SOFT,SI,100,20,8.44,4,86,0.0035,0.001,
HEURISTICA,CLOUD,SOFT,NO,100,20,2.12,1,20,0.003,0.004,
HEURISTICA,CLOUD,SOFT,NO,100,20,2.16,1,20,0.0041,0.004,
HEURISTICA,CLOUD,SOFT,NO,100,20,2.11,1,20,0.0028,0.004,
HEURISTICA,CLOUD,SOFT,NO,100,20,2.16,1,20,0.004,0.003,
HEURISTICA,CLOUD,SOFT,NO,100,20,2.13,1,20,0.0033,0.004,
CPLEX,CLOUD,SOFT,SI,100,50,9,3,292,0.1,0.97,
CPLEX,CLOUD,SOFT,SI,100,50,9.73,4,277,0.012,1.12,
CPLEX,CLOUD,SOFT,SI,100,50,8.49,4,220,0.0058,0.97,
CPLEX,CLOUD,SOFT,SI,100,50,8.45,4,219,0.0045,0.91,
CPLEX,CLOUD,SOFT,SI,100,50,9.11,4,248,0.0095,0.98,
CPLEX,CLOUD,SOFT,NO,100,50,2.14,1,50,0.0088,6.34,
CPLEX,CLOUD,SOFT,NO,100,50,2.14,1,50,0.0089,5.47,
CPLEX,CLOUD,SOFT,NO,100,50,2.14,1,50,0.0091,8.73,
CPLEX,CLOUD,SOFT,NO,100,50,2.14,1,50,0.009,9.09,
CPLEX,CLOUD,SOFT,NO,100,50,2.17,1,50,0.109,4.81,
HEURISTICA,CLOUD,SOFT,SI,100,50,10.92,6,240,0.0075,0.004,
HEURISTICA,CLOUD,SOFT,SI,100,50,10.73,4,316,0.0266,0.004,
HEURISTICA,CLOUD,SOFT,SI,100,50,9.35,4,258,0.012,0.004,
HEURISTICA,CLOUD,SOFT,SI,100,50,11.58,2,459,0.0256,0.004,
HEURISTICA,CLOUD,SOFT,SI,100,50,10.14,4,295,0.0155,0.005,
HEURISTICA,CLOUD,SOFT,NO,100,50,2.14,1,50,0.0088,0.013,
HEURISTICA,CLOUD,SOFT,NO,100,50,2.14,1,50,0.0089,0.013,
HEURISTICA,CLOUD,SOFT,NO,100,50,2.14,1,50,0.0091,0.013,
HEURISTICA,CLOUD,SOFT,NO,100,50,2.14,1,50,0.009,0.013,
HEURISTICA,CLOUD,SOFT,NO,100,50,2.17,1,50,0.0109,0.013,
CPLEX,CLOUD,SOFT,SI,100,100,9.78,4,560,0.0225,4.33,
CPLEX,CLOUD,SOFT,SI,100,100,9.89,4,569,0.026,2.16,
CPLEX,CLOUD,SOFT,SI,100,100,9.2,4,592,0.0356,2.52,
CPLEX,CLOUD,SOFT,SI,100,100,9.65,4,551,0.0175,2.5,
CPLEX,CLOUD,SOFT,SI,100,100,10.78,5,567,0.0145,2.7,
CPLEX,CLOUD,SOFT,NO,100,100,2.14,1,100,0.0186,27.59,
CPLEX,CLOUD,SOFT,NO,100,100,2.14,1,100,0.0181,36.74,
CPLEX,CLOUD,SOFT,NO,100,100,2.16,1,100,0.0206,31.86,
CPLEX,CLOUD,SOFT,NO,100,100,2.15,1,100,0.0188,43.62,
CPLEX,CLOUD,SOFT,NO,100,100,2.16,1,101,0.0187,17.38,
HEURISTICA,CLOUD,SOFT,SI,100,100,12.65,8,450,0.019,0.009,
HEURISTICA,CLOUD,SOFT,SI,100,100,11.63,7,453,0.013,0.09,
HEURISTICA,CLOUD,SOFT,SI,100,100,11.06,5,579,0.0351,0.01,
HEURISTICA,CLOUD,SOFT,SI,100,100,12.09,6,577,0.0416,0.009,
HEURISTICA,CLOUD,SOFT,SI,100,100,12.88,4,860,0.0371,0.009,
HEURISTICA,CLOUD,SOFT,NO,100,100,2.14,1,100,0.0186,0.025,
HEURISTICA,CLOUD,SOFT,NO,100,100,2.14,1,100,0.0181,0.026,
HEURISTICA,CLOUD,SOFT,NO,100,100,2.16,1,100,0.0206,0.026,
HEURISTICA,CLOUD,SOFT,NO,100,100,2.15,1,100,0.0188,0.026,
HEURISTICA,CLOUD,SOFT,NO,100,100,2.16,1,101,0.0188,0.026,
CPLEX,CLOUD,SOFT,SI,100,150,10.48,5,801,0.0215,3.54,
CPLEX,CLOUD,SOFT,SI,100,150,8.3,3,774,0.0215,4.91,
CPLEX,CLOUD,SOFT,SI,100,150,10.39,5,783,0.0286,4.51,
CPLEX,CLOUD,SOFT,SI,100,150,9.24,3,897,0.0446,6.19,
CPLEX,CLOUD,SOFT,SI,100,150,9.74,4,823,0.0426,5.86,
CPLEX,CLOUD,SOFT,NO,100,150,2.15,1,150,0.0286,52.29,
CPLEX,CLOUD,SOFT,NO,100,150,2.15,1,150,0.0287,84.85,
CPLEX,CLOUD,SOFT,NO,100,150,2.15,1,150,0.0287,53.95,
CPLEX,CLOUD,SOFT,NO,100,150,2.16,1,150,0.0293,51.49,
CPLEX,CLOUD,SOFT,NO,100,150,2.16,1,150,0.0292,77.41,
HEURISTICA,CLOUD,SOFT,SI,100,150,11.56,4,1085,0.0556,0.013,
HEURISTICA,CLOUD,SOFT,SI,100,150,10.33,5,756,0.0506,0.016,
HEURISTICA,CLOUD,SOFT,SI,100,150,12.42,7,789,0.0256,0.013,
HEURISTICA,CLOUD,SOFT,SI,100,150,13.44,2,1601,0.1376,0.012,
HEURISTICA,CLOUD,SOFT,SI,100,150,10.8,3,1120,0.0561,0.014,
HEURISTICA,CLOUD,SOFT,NO,100,150,2.15,1,150,0.0286,0.041,
HEURISTICA,CLOUD,SOFT,NO,100,150,2.15,1,150,0.0287,0.041,
HEURISTICA,CLOUD,SOFT,NO,100,150,2.15,1,150,0.0287,0.041,
HEURISTICA,CLOUD,SOFT,NO,100,150,2.16,1,150,0.0293,0.04,
HEURISTICA,CLOUD,SOFT,NO,100,150,2.16,1,150,0.0291,0.041,
CPLEX,CLOUD,SOFT,SI,100,200,10.3,4,1224,0.0466,5.34,
CPLEX,CLOUD,SOFT,SI,100,200,10.1,4,1175,0.0581,5.77,
CPLEX,CLOUD,SOFT,SI,100,200,8.99,3,1159,0.0506,13.62,
CPLEX,CLOUD,SOFT,SI,100,200,8.4,3,1048,0.0426,0.027,
CPLEX,CLOUD,SOFT,SI,100,200,9.47,4,1065,0.0376,0.059,
CPLEX,CLOUD,SOFT,NO,100,200,2.14,1,200,0.0364,62.22,
CPLEX,CLOUD,SOFT,NO,100,200,2.15,1,200,0.0381,127.63,
CPLEX,CLOUD,SOFT,NO,100,200,2.15,1,200,0.0377,119.62,
CPLEX,CLOUD,SOFT,NO,100,200,2.15,1,200,0.0388,84.97,
CPLEX,CLOUD,SOFT,NO,100,200,2.15,1,200,0.0388,108.46,
HEURISTICA,CLOUD,SOFT,SI,100,200,12.37,4,1623,0.0653,0.019,
HEURISTICA,CLOUD,SOFT,SI,100,200,13.26,8,1017,0.0461,0.019,
HEURISTICA,CLOUD,SOFT,SI,100,200,10.14,3,1367,0.0796,0.02,
HEURISTICA,CLOUD,SOFT,SI,100,200,11.57,7,881,0.0426,0.021,
HEURISTICA,CLOUD,SOFT,SI,100,200,11.8,3,1657,0.1315,0.027,
HEURISTICA,CLOUD,SOFT,NO,100,200,2.14,1,200,0.0364,0.052,
HEURISTICA,CLOUD,SOFT,NO,100,200,2.15,1,200,0.0381,0.055,
HEURISTICA,CLOUD,SOFT,NO,100,200,2.15,1,200,0.0377,0.056,
HEURISTICA,CLOUD,SOFT,NO,100,200,2.15,1,200,0.0388,0.055,
HEURISTICA,CLOUD,SOFT,NO,100,200,2.15,1,200,0.0388,0.055,
CPLEX,CLOUD,SOFT,SI,100,500,9.81,4,2838,0.0857,44.66,
CPLEX,CLOUD,SOFT,SI,100,500,9.56,4,2707,0.0927,45.98,
CPLEX,CLOUD,SOFT,SI,100,500,8.7,3,2760,0.1177,138.49,
CPLEX,CLOUD,SOFT,SI,100,500,9.51,3,3145,0.1433,210.87,
CPLEX,CLOUD,SOFT,SI,100,500,9.98,4,2914,0.1017,83.76,
CPLEX,CLOUD,SOFT,NO,100,500,2.14,1,500,0.0933,1543.16,
CPLEX,CLOUD,SOFT,NO,100,500,2.15,1,500,0.0968,1445.84,
CPLEX,CLOUD,SOFT,NO,100,500,2.15,1,500,0.0946,1074.75,
CPLEX,CLOUD,SOFT,NO,100,500,2.15,1,500,0.0946,1095.36,
CPLEX,CLOUD,SOFT,NO,100,500,2.15,1,500,0.0946,1086.23,
HEURISTICA,CLOUD,SOFT,SI,100,500,11.8,5,3292,0.1367,0.059,
HEURISTICA,CLOUD,SOFT,SI,100,500,11.82,3,4151,0.3353,0.08,
HEURISTICA,CLOUD,SOFT,SI,100,500,9.19,2,3404,0.2485,0.082,
HEURISTICA,CLOUD,SOFT,SI,100,500,10.66,3,3653,0.2274,0.08,
HEURISTICA,CLOUD,SOFT,SI,100,500,12.2,4,3983,0.1536,0.078,
HEURISTICA,CLOUD,SOFT,NO,100,500,2.14,1,500,0.0933,0.198,
HEURISTICA,CLOUD,SOFT,NO,100,500,2.15,1,500,0.0968,0.199,
HEURISTICA,CLOUD,SOFT,NO,100,500,2.15,1,500,0.0946,0.182,
HEURISTICA,CLOUD,SOFT,NO,100,500,2.15,1,500,0.094,0.199,
HEURISTICA,CLOUD,SOFT,NO,100,500,2.15,1,500,0.0946,0.199,
HEURISTICA,UNIFORME,SOFT,NO,100,20,2.15,1,20,0.004,0.003,
HEURISTICA,UNIFORME,SOFT,NO,100,20,2.21,1,20,0.0041,0.003,
HEURISTICA,UNIFORME,SOFT,NO,100,20,2.16,1,20,0.0041,0.003,
HEURISTICA,UNIFORME,SOFT,NO,100,20,2.16,1,21,0.0029,0.003,
HEURISTICA,UNIFORME,SOFT,NO,100,20,2.22,1,22,0.003,0.003,
HEURISTICA,UNIFORME,SOFT,NO,100,50,2.16,1,51,0.0092,0.012,
HEURISTICA,UNIFORME,SOFT,NO,100,50,2.2,1,52,0.0104,0.012,
HEURISTICA,UNIFORME,SOFT,NO,100,50,2.16,1,51,0.0087,0.012,
HEURISTICA,UNIFORME,SOFT,NO,100,50,2.17,1,51,0.0096,0.013,
HEURISTICA,UNIFORME,SOFT,NO,100,50,2.17,1,51,0.0095,0.013,
HEURISTICA,UNIFORME,SOFT,NO,100,100,2.21,1,114,0.0165,0.024,
HEURISTICA,UNIFORME,SOFT,NO,100,100,2.18,1,104,0.0178,0.025,
HEURISTICA,UNIFORME,SOFT,NO,100,100,2.19,1,104,0.0189,0.025,
HEURISTICA,UNIFORME,SOFT,NO,100,100,2.16,1,102,0.0187,0.026,
HEURISTICA,UNIFORME,SOFT,NO,100,100,2.17,1,103,0.0181,0.024,
HEURISTICA,UNIFORME,SOFT,NO,100,150,2.21,1,162,0.0269,0.039,
HEURISTICA,UNIFORME,SOFT,NO,100,150,2.17,1,155,0.0255,0.039,
HEURISTICA,UNIFORME,SOFT,NO,100,150,2.17,1,159,0.0272,0.039,
HEURISTICA,UNIFORME,SOFT,NO,100,150,2.19,1,156,0.0275,0.042,
HEURISTICA,UNIFORME,SOFT,NO,100,150,2.16,1,153,0.0269,0.04,
HEURISTICA,UNIFORME,SOFT,NO,100,200,2.16,1,205,0.0343,0.053,
HEURISTICA,UNIFORME,SOFT,NO,100,200,2.17,1,207,0.0344,0.054,
HEURISTICA,UNIFORME,SOFT,NO,100,200,2.17,1,206,0.0384,0.054,
HEURISTICA,UNIFORME,SOFT,NO,100,200,2.15,1,203,0.0359,0.052,
HEURISTICA,UNIFORME,SOFT,NO,100,200,2.18,1,209,0.0352,0.053,
HEURISTICA,UNIFORME,SOFT,NO,100,500,2.15,1,500,0.0943,0.198,
HEURISTICA,UNIFORME,SOFT,NO,100,500,2.15,1,500,0.0963,0.178,
HEURISTICA,UNIFORME,SOFT,NO,100,500,2.15,1,500,0.0955,0.192,
HEURISTICA,UNIFORME,SOFT,NO,100,500,2.14,1,500,0.0906,0.198,
HEURISTICA,UNIFORME,SOFT,NO,100,500,2.14,1,500,0.0913,0.199,
CPLEX,UNIFORME,SOFT,NO,100,20,2.15,1,20,0.004,0.76,
CPLEX,UNIFORME,SOFT,NO,100,20,2.21,1,20,0.0041,0.66,
CPLEX,UNIFORME,SOFT,NO,100,20,2.16,1,20,0.0041,0.5,
CPLEX,UNIFORME,SOFT,NO,100,20,2.16,1,21,0.0029,0.62,
CPLEX,UNIFORME,SOFT,NO,100,20,2.22,1,22,0.003,0.61,
CPLEX,UNIFORME,SOFT,NO,100,50,2.16,1,51,0.0092,3.2,
CPLEX,UNIFORME,SOFT,NO,100,50,2.2,1,52,0.0104,3.1,
CPLEX,UNIFORME,SOFT,NO,100,50,2.16,1,51,0.0087,3.13,
CPLEX,UNIFORME,SOFT,NO,100,50,2.17,1,51,0.0096,3.06,
CPLEX,UNIFORME,SOFT,NO,100,50,2.17,1,51,0.0095,3.52,
CPLEX,UNIFORME,SOFT,NO,100,100,2.21,1,107,0.0182,14.95,
CPLEX,UNIFORME,SOFT,NO,100,100,2.18,1,104,0.0178,17.6,
CPLEX,UNIFORME,SOFT,NO,100,100,2.19,1,104,0.0189,15.66,
CPLEX,UNIFORME,SOFT,NO,100,100,2.16,1,102,0.0187,15.27,
CPLEX,UNIFORME,SOFT,NO,100,100,2.17,1,103,0.0268,16.01,
CPLEX,UNIFORME,SOFT,NO,100,150,2.21,1,160,0.0268,34.9,
CPLEX,UNIFORME,SOFT,NO,100,150,2.17,1,159,0.0255,38.41,
CPLEX,UNIFORME,SOFT,NO,100,150,2.17,1,152,0.0289,41.91,
CPLEX,UNIFORME,SOFT,NO,100,150,2.19,1,156,0.0275,35.2,
CPLEX,UNIFORME,SOFT,NO,100,150,2.16,1,153,0.0269,42.72,
CPLEX,UNIFORME,SOFT,NO,100,200,2.16,1,205,0.0343,39.42,
CPLEX,UNIFORME,SOFT,NO,100,200,2.17,1,206,0.0384,30.91,
CPLEX,UNIFORME,SOFT,NO,100,200,2.17,1,203,0.0359,48.15,
CPLEX,UNIFORME,SOFT,NO,100,200,2.15,1,203,0.0359,38.83,
CPLEX,UNIFORME,SOFT,NO,100,200,2.18,1,209,0.0352,45.39,
CPLEX,UNIFORME,SOFT,NO,100,500,2.15,1,500,0.0943,1306.86,
CPLEX,UNIFORME,SOFT,NO,100,500,2.15,1,500,0.0963,663.52,
CPLEX,UNIFORME,SOFT,NO,100,500,2.15,1,500,0.0955,911.18,
CPLEX,UNIFORME,SOFT,NO,100,500,2.14,1,500,0.0906,1498.56,
CPLEX,UNIFORME,SOFT,NO,100,500,2.14,1,500,0.0913,1499.81,
HEURISTICA,UNIFORME,SOFT,SI,100,20,15.82,9,132,0.0055,0.001,
HEURISTICA,UNIFORME,SOFT,SI,100,20,15.1,9,117,0.0065,0.001,
HEURISTICA,UNIFORME,SOFT,SI,100,20,16.61,5,222,0.013,0.0005,
HEURISTICA,UNIFORME,SOFT,SI,100,20,15.89,10,114,0.0051,0.001,
HEURISTICA,UNIFORME,SOFT,SI,100,20,14.64,9,109,0.005,0.001,
HEURISTICA,UNIFORME,SOFT,SI,100,50,16.72,5,558,0.0361,0.002,
HEURISTICA,UNIFORME,SOFT,SI,100,50,17.25,4,635,0.0351,0.003,
HEURISTICA,UNIFORME,SOFT,SI,100,50,15.48,6,445,0.0372,0.003,
HEURISTICA,UNIFORME,SOFT,SI,100,50,17.85,5,612,0.0391,0.003,
HEURISTICA,UNIFORME,SOFT,SI,100,50,15.85,4,572,0.0261,0.003,
HEURISTICA,UNIFORME,SOFT,SI,100,100,16.98,6,1065,0.0421,0.008,
HEURISTICA,UNIFORME,SOFT,SI,100,100,17.2,5,1180,0.0512,0.006,
HEURISTICA,UNIFORME,SOFT,SI,100,100,16.3,4,1178,0.0662,0.007,
HEURISTICA,UNIFORME,SOFT,SI,100,100,17.01,6,1053,0.0612,0.007,
HEURISTICA,UNIFORME,SOFT,SI,100,100,15.73,5,1032,0.0532,0.008,
HEURISTICA,UNIFORME,SOFT,SI,100,150,16.92,6,1575,0.07,0.013,
HEURISTICA,UNIFORME,SOFT,SI,100,150,15.65,5,1548,0.0552,0.01,
HEURISTICA,UNIFORME,SOFT,SI,100,150,16.93,5,1722,0.0753,0.009,
HEURISTICA,UNIFORME,SOFT,SI,100,150,16.87,6,1559,0.0823,0.009,
HEURISTICA,UNIFORME,SOFT,SI,100,150,16.14,5,1621,0.0542,0.012,
HEURISTICA,UNIFORME,SOFT,SI,100,200,16.3,6,1997,0.0813,0.018,
HEURISTICA,UNIFORME,SOFT,SI,100,200,17.68,6,2234,0.1304,0.013,
HEURISTICA,UNIFORME,SOFT,SI,100,200,17.09,6,2158,0.0783,0.013,
HEURISTICA,UNIFORME,SOFT,SI,100,200,16.35,6,1998,0.0932,0.013,
HEURISTICA,UNIFORME,SOFT,SI,100,200,17.76,8,1899,0.0693,0.018,
HEURISTICA,UNIFORME,SOFT,SI,100,500,11.89,5,3292,0.1367,0.059,
HEURISTICA,UNIFORME,SOFT,SI,100,500,12.2,4,3983,0.1536,0.078,
HEURISTICA,UNIFORME,SOFT,SI,100,500,11.82,3,4151,0.3354,0.08,
HEURISTICA,UNIFORME,SOFT,SI,100,500,9.2,2,3404,0.2485,0.082,
HEURISTICA,UNIFORME,SOFT,SI,100,500,10.66,3,3653,0.2274,0.08,
CPLEX,UNIFORME,SOFT,SI,100,20,13.48,5,163,0.0085,0.11,
CPLEX,UNIFORME,SOFT,SI,100,20,13.48,5,163,0.0085,0.11,
CPLEX,UNIFORME,SOFT,SI,100,20,14.03,5,176,0.006,0.12,
