Instance Name,Alpha,Beta,Gamma,Solver,Execution Time (ms),Cost,Feasible,GW Used,Energy,UF
ihu100_10_100.dat,10,0.01,100,Improved Random Search,151473,94.2483,Yes,9,218,0.0206834
ihu100_10_100.dat,10,0.01,100,Improved Random Search,155394,94.4255,Yes,9,204,0.0238552
ihu100_10_100.dat,100,0.1,1,Improved Random Search,155360,918.23,Yes,9,182,0.0301476
ihu100_10_100.dat,10,0.05,100,Improved Random Search,151046,102.638,Yes,9,200,0.0263772
ihu100_10_100.dat,100,0.1,1,Improved Random Search,149985,919.826,Yes,9,198,0.0263867
ihu100_10_100.dat,100,0.1,1,Improved Random Search,157233,920.035,Yes,9,200,0.0351823
ihu100_10_100.dat,100,0.05,1,Improved Random Search,156375,910.324,Yes,9,206,0.023871
ihu100_10_100.dat,10,0.01,100,Improved Random Search,157412,94.2494,Yes,9,224,0.0200943
ihu100_10_100.dat,100,0.05,1,Improved Random Search,150096,910.094,Yes,9,201,0.0439683
ihu100_10_100.dat,100,0.05,1,Improved Random Search,155676,909.835,Yes,9,196,0.0351918
ihu100_10_100.dat,100,0.01,1,Improved Random Search,155715,901.906,Yes,9,187,0.0364369
ihu100_10_100.dat,100,0.1,1,Improved Random Search,150380,920.43,Yes,9,204,0.0301571
ihu100_10_100.dat,100,0.01,1,Improved Random Search,149011,902.086,Yes,9,206,0.0263772
ihu100_10_100.dat,100,0.01,1,Improved Random Search,157687,902.048,Yes,9,202,0.0276256
ihu100_10_100.dat,100,0.1,50,Improved Random Search,157740,921.408,Yes,9,199,0.0301697
ihu100_10_100.dat,100,0.05,1,Improved Random Search,158206,910.133,Yes,9,202,0.0326539
ihu100_10_100.dat,100,0.1,50,Improved Random Search,149343,921.221,Yes,9,194,0.0364244
ihu100_10_100.dat,100,0.1,50,Improved Random Search,155714,921.097,Yes,9,194,0.0339307
ihu100_10_100.dat,100,0.05,50,Improved Random Search,155764,911.218,Yes,9,198,0.0263646
ihu100_10_100.dat,100,0.01,1,Improved Random Search,152778,902.039,Yes,9,201,0.0288299
ihu100_10_100.dat,100,0.05,50,Improved Random Search,151264,911.582,Yes,9,204,0.0276414
ihu100_10_100.dat,100,0.05,50,Improved Random Search,155639,911.006,Yes,9,200,0.02011
ihu100_10_100.dat,100,0.01,50,Improved Random Search,155575,903.344,Yes,9,215,0.023871
ihu100_10_100.dat,100,0.1,50,Improved Random Search,151065,921.07,Yes,9,195,0.0314056
ihu100_10_100.dat,100,0.01,50,Improved Random Search,155604,903.235,Yes,9,223,0.0201069
ihu100_10_100.dat,100,0.1,100,Improved Random Search,156312,922.31,Yes,9,198,0.0250973
ihu100_10_100.dat,100,0.05,50,Improved Random Search,151288,911.216,Yes,9,198,0.0263237
ihu100_10_100.dat,100,0.1,100,Improved Random Search,150520,923.086,Yes,9,207,0.0238583
ihu100_10_100.dat,100,0.1,100,Improved Random Search,156702,923.541,Yes,9,204,0.0314118
ihu100_10_100.dat,100,0.01,50,Improved Random Search,151433,903.342,Yes,9,237,0.019431
ihu100_10_100.dat,100,0.05,100,Improved Random Search,156264,912.337,Yes,9,199,0.0238678
ihu100_10_100.dat,100,0.05,100,Improved Random Search,153716,912.761,Yes,9,215,0.0201069
ihu100_10_100.dat,100,0.05,100,Improved Random Search,153855,912.687,Yes,9,201,0.0263741
ihu100_10_100.dat,100,0.1,100,Improved Random Search,156033,923.785,Yes,9,214,0.0238457
ihu100_10_100.dat,100,0.01,100,Improved Random Search,155971,904.376,Yes,9,224,0.0213616
ihu100_10_100.dat,100,0.01,100,Improved Random Search,154149,904.331,Yes,9,207,0.0226068
ihu100_10_100.dat,100,0.01,100,Improved Random Search,151802,904.406,Yes,9,227,0.0213647
ihu100_10_100.dat,100,0.05,100,Improved Random Search,149266,912.962,Yes,9,214,0.0226162
ihu100_10_100.dat,100,0.01,100,Improved Random Search,146636,904.158,Yes,9,209,0.0206779
