GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Greedy,None,Uniform,Hard,1000,1000,0,12,45,6,100,0.01,926,1,Max. iterations
Greedy,None,Uniform,Hard,1000,1000,0,12,45,6,100,0.01,806,1,Max. iterations
Greedy,None,Uniform,Hard,1000,1000,0,12,45,6,100,0.01,819,1,Max. iterations
Greedy,None,Uniform,Hard,1000,1000,0,12,45,6,100,0.01,819,1,Max. iterations
Greedy,None,Uniform,Hard,1000,1000,0,12,45,6,100,0.01,819,1,Max. iterations
Greedy,None,Uniform,Hard,1000,1000,0,12,45,6,100,0.01,817,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,50,7,100,0.02,3631,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,50,7,100,0.02,3697,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,50,7,100,0.02,3697,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,50,7,100,0.02,3698,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,50,7,100,0.02,3698,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,46,8,100,0.02,3210,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,46,8,100,0.02,3422,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,46,8,100,0.02,3423,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,46,8,100,0.02,3423,1,Max. iterations
Greedy,None,Uniform,Hard,1000,2000,0,12,46,8,100,0.02,3431,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,54,7,100,0.04,22246,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,54,7,100,0.04,22820,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,54,7,100,0.04,23238,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,54,7,100,0.04,23242,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,54,7,100,0.04,23243,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,59,7,100,0.04,23527,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,59,7,100,0.04,23579,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,59,7,100,0.04,24822,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,59,7,100,0.04,24824,1,Max. iterations
Greedy,None,Uniform,Hard,1000,5000,0,12,59,7,100,0.04,24833,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,69,8,100,0.06,112979,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,69,8,100,0.06,113950,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,69,8,100,0.06,117234,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,69,8,100,0.06,117242,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,69,8,100,0.06,117289,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,71,8,100,0.06,114421,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,71,8,100,0.06,114432,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,71,8,100,0.06,120639,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,71,8,100,0.06,120639,1,Max. iterations
Greedy,None,Uniform,Hard,1000,10000,0.01,12,71,8,100,0.06,120669,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,84,8,100,0.09,549001,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,84,8,100,0.09,549293,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,84,8,100,0.09,576972,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,84,8,100,0.09,577692,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,84,8,100,0.09,579613,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,81,9,100,0.1,524607,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,81,9,100,0.1,529677,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,81,9,100,0.1,547924,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,81,9,100,0.1,548094,1,Max. iterations
Greedy,None,Uniform,Hard,1000,20000,0.02,12,81,9,100,0.1,548163,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,133,7,100,0,2158,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,133,7,100,0,2269,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,133,7,100,0,2271,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,133,7,100,0,2272,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,133,7,100,0,2275,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,130,7,100,0,2153,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,130,7,100,0,2155,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,130,7,100,0,2235,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,130,7,100,0,2236,1,Max. iterations
Greedy,None,Uniform,Hard,2000,1000,0,12,130,7,100,0,2236,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,147,7,100,0.01,9130,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,147,7,100,0.01,9918,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,147,7,100,0.01,9923,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,147,7,100,0.01,9928,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,147,7,100,0.01,9955,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,154,8,100,0.01,9617,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,154,8,100,0.01,10172,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,154,8,100,0.01,10175,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,154,8,100,0.01,10176,1,Max. iterations
Greedy,None,Uniform,Hard,2000,2000,0,12,154,8,100,0.01,10177,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,181,7,100,0.01,68083,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,181,7,100,0.01,68088,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,181,7,100,0.01,71998,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,181,7,100,0.01,72018,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,181,7,100,0.01,72023,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,170,8,100,0.01,64241,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,170,8,100,0.01,67446,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,170,8,100,0.01,67707,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,170,8,100,0.01,67727,1,Max. iterations
Greedy,None,Uniform,Hard,2000,5000,0,12,170,8,100,0.01,67750,1,Max. iterations
