0.00,0.00,0.00,Greedy,generada.dat,-,5,1139,0.101403
0.00,0.00,0.25,Greedy,generada.dat,-,9,916,0.0220904
0.00,0.00,0.50,Greedy,generada.dat,-,7,1040,0.0361124
0.00,0.00,0.75,Greedy,generada.dat,-,8,980,0.0240924
0.00,0.00,1.00,Greedy,generada.dat,-,12,752,0.0125293
0.00,0.25,0.00,Greedy,generada.dat,-,6,960,0.0341306
0.00,0.25,0.25,Greedy,generada.dat,-,7,936,0.0250873
0.00,0.25,0.50,Greedy,generada.dat,-,8,876,0.0321306
0.00,0.25,0.75,Greedy,generada.dat,-,9,879,0.0230672
0.00,0.25,1.00,Greedy,generada.dat,-,8,881,0.0271115
0.00,0.50,0.00,Greedy,generada.dat,-,6,1076,0.051216
0.00,0.50,0.25,Greedy,generada.dat,-,8,914,0.0371416
0.00,0.50,0.50,Greedy,generada.dat,-,7,970,0.0351336
0.00,0.50,0.75,Greedy,generada.dat,-,6,1002,0.0541948
0.00,0.50,1.00,Greedy,generada.dat,-,7,954,0.0230753
0.00,0.75,0.00,Greedy,generada.dat,-,8,835,0.0230894
0.00,0.75,0.25,Greedy,generada.dat,-,8,992,0.0471838
0.00,0.75,0.50,Greedy,generada.dat,-,6,1012,0.0381507
0.00,0.75,0.75,Greedy,generada.dat,-,8,915,0.0381587
0.00,0.75,1.00,Greedy,generada.dat,-,6,1090,0.0401305
0.00,1.00,0.00,Greedy,generada.dat,-,7,1008,0.0331336
0.00,1.00,0.25,Greedy,generada.dat,-,8,922,0.0351315
0.00,1.00,0.50,Greedy,generada.dat,-,9,847,0.0240924
0.00,1.00,0.75,Greedy,generada.dat,-,8,847,0.0260964
0.00,1.00,1.00,Greedy,generada.dat,-,7,1024,0.0361245
0.25,0.00,0.00,Greedy,generada.dat,-,5,1188,0.0672782
0.25,0.00,0.25,Greedy,generada.dat,-,5,1161,0.0582109
0.25,0.00,0.50,Greedy,generada.dat,-,5,1092,0.0411657
0.25,0.00,0.75,Greedy,generada.dat,-,6,1040,0.0391537
0.25,0.00,1.00,Greedy,generada.dat,-,5,1074,0.0471737
0.25,0.25,0.00,Greedy,generada.dat,-,5,1074,0.0391396
0.25,0.25,0.25,Greedy,generada.dat,-,8,900,0.0321084
0.25,0.25,0.50,Greedy,generada.dat,-,7,978,0.0351134
0.25,0.25,0.75,Greedy,generada.dat,-,7,898,0.0190673
0.25,0.25,1.00,Greedy,generada.dat,-,8,890,0.0421405
0.25,0.50,0.00,Greedy,generada.dat,-,6,990,0.0391456
0.25,0.50,0.25,Greedy,generada.dat,-,8,864,0.0331316
0.25,0.50,0.50,Greedy,generada.dat,-,6,986,0.0391396
0.25,0.50,0.75,Greedy,generada.dat,-,6,965,0.0381386
0.25,0.50,1.00,Greedy,generada.dat,-,6,1032,0.0532019
0.25,0.75,0.00,Greedy,generada.dat,-,6,1061,0.0531958
0.25,0.75,0.25,Greedy,generada.dat,-,5,1074,0.0491697
0.25,0.75,0.50,Greedy,generada.dat,-,6,1024,0.0401527
0.25,0.75,0.75,Greedy,generada.dat,-,6,1102,0.0421466
0.25,0.75,1.00,Greedy,generada.dat,-,7,954,0.0391617
0.25,1.00,0.00,Greedy,generada.dat,-,6,1022,0.0491697
0.25,1.00,0.25,Greedy,generada.dat,-,7,943,0.0311135
0.25,1.00,0.50,Greedy,generada.dat,-,6,998,0.0481747
0.25,1.00,0.75,Greedy,generada.dat,-,7,930,0.0260984
0.25,1.00,1.00,Greedy,generada.dat,-,6,946,0.0381386
0.50,0.00,0.00,Greedy,generada.dat,-,5,1194,0.063236
0.50,0.00,0.25,Greedy,generada.dat,-,6,1064,0.0672782
0.50,0.00,0.50,Greedy,generada.dat,-,5,1173,0.0491697
0.50,0.00,0.75,Greedy,generada.dat,-,5,1132,0.0421748
0.50,0.00,1.00,Greedy,generada.dat,-,7,923,0.0241004
0.50,0.25,0.00,Greedy,generada.dat,-,6,978,0.0361466
0.50,0.25,0.25,Greedy,generada.dat,-,7,946,0.0351376
0.50,0.25,0.50,Greedy,generada.dat,-,5,1108,0.0702812
0.50,0.25,0.75,Greedy,generada.dat,-,5,1107,0.0552079
0.50,0.25,1.00,Greedy,generada.dat,-,6,1033,0.060237
0.50,0.50,0.00,Greedy,generada.dat,-,6,999,0.0381345
0.50,0.50,0.25,Greedy,generada.dat,-,7,1004,0.0361245
0.50,0.50,0.50,Greedy,generada.dat,-,6,1022,0.0491757
0.50,0.50,0.75,Greedy,generada.dat,-,6,974,0.0541948
0.50,0.50,1.00,Greedy,generada.dat,-,6,1106,0.064239
0.50,0.75,0.00,Greedy,generada.dat,-,5,1102,0.0391396
0.50,0.75,0.25,Greedy,generada.dat,-,6,1096,0.0491858
0.50,0.75,0.50,Greedy,generada.dat,-,6,1052,0.0502271
0.50,0.75,0.75,Greedy,generada.dat,-,5,1086,0.0933626
0.50,0.75,1.00,Greedy,generada.dat,-,8,926,0.0301205
0.50,1.00,0.00,Greedy,generada.dat,-,5,1100,0.0612481
0.50,1.00,0.25,Greedy,generada.dat,-,5,1076,0.053218
