MOGA2,generada.dat,GW,23,2644,0.0423756
GreedyMO,generada.dat,-,5,1078,0.0662632
MOGA2,generada.dat,E,30,2150,0.0282665
MOGA2WS,generada.dat,GW,5,1194,0.0773084
MOGA2WS,generada.dat,E,12,1195,0.060231
MOGA2,generada.dat,UF,30,2160,0.0160966
MOGA2WS,generada.dat,UF,28,1852,0.0220984
GreedyMO,generada.dat,-,7,1056,0.0531938
MOGA2,generada.dat,GW,23,2624,0.0625531
MOGA2,generada.dat,E,29,2156,0.0261652
MOGA2WS,generada.dat,GW,6,1211,0.119475
MOGA2WS,generada.dat,E,21,1152,0.0220884
MOGA2,generada.dat,UF,30,2386,0.0181655
MOGA2WS,generada.dat,UF,30,2448,0.0261977
MOGA2,generada.dat,GW,22,2488,0.0403471
GreedyMO,generada.dat,-,5,1114,0.0491939
MOGA2WS,generada.dat,GW,5,1224,0.0742812
MOGA2,generada.dat,E,28,1938,0.0282665
MOGA2WS,generada.dat,E,14,1135,0.0301205
MOGA2,generada.dat,UF,29,2440,0.0181655
MOGA2WS,generada.dat,UF,29,1473,0.0140663
GreedyMO,generada.dat,-,5,1144,0.068245
MOGA2,generada.dat,GW,23,2672,0.0403716
MOGA2WS,generada.dat,GW,7,1221,0.0612662
MOGA2,generada.dat,E,30,2196,0.0362987
MOGA2WS,generada.dat,E,14,1130,0.0441506
MOGA2,generada.dat,UF,29,2368,0.0180824
MOGA2WS,generada.dat,UF,30,2018,0.0170713
MOGA2,generada.dat,GW,24,2460,0.0443876
GreedyMO,generada.dat,-,6,1020,0.0361466
MOGA2WS,generada.dat,GW,6,1206,0.0943676
MOGA2WS,generada.dat,E,19,1162,0.0461667
MOGA2,generada.dat,E,29,2188,0.0322746
MOGA2,generada.dat,UF,29,2380,0.0201291
MOGA2WS,generada.dat,UF,29,2066,0.0241935
GreedyMO,generada.dat,-,7,988,0.0431536
MOGA2,generada.dat,GW,23,2520,0.0383351
MOGA2WS,generada.dat,GW,6,1284,0.0662913
MOGA2,generada.dat,E,29,2152,0.0282665
MOGA2WS,generada.dat,E,19,1182,0.0542391
MOGA2,generada.dat,UF,29,2368,0.020202
MOGA2WS,generada.dat,UF,29,2160,0.0242181
MOGA2,generada.dat,GW,24,2566,0.0383106
GreedyMO,generada.dat,-,5,1144,0.0572502
MOGA2WS,generada.dat,GW,10,1248,0.065242
MOGA2,generada.dat,E,28,2140,0.0242181
MOGA2,generada.dat,UF,30,2466,0.020202
MOGA2WS,generada.dat,E,11,1260,0.0983937
MOGA2WS,generada.dat,UF,24,1668,0.0140663
MOGA2,generada.dat,GW,24,2524,0.0504726
GreedyMO,generada.dat,-,7,940,0.0561968
MOGA2WS,generada.dat,GW,5,1207,0.0612662
MOGA2,generada.dat,E,28,2136,0.0282341
MOGA2WS,generada.dat,E,22,1194,0.0280984
MOGA2,generada.dat,UF,29,2180,0.0141171
MOGA2WS,generada.dat,UF,29,2306,0.022206
GreedyMO,generada.dat,-,7,980,0.0331094
MOGA2,generada.dat,GW,24,2624,0.0625287
MOGA2WS,generada.dat,GW,5,1232,0.0682611
MOGA2,generada.dat,E,30,2202,0.0322826
MOGA2WS,generada.dat,E,6,1226,0.102406
MOGA2,generada.dat,UF,30,2254,0.0181655
MOGA2WS,generada.dat,UF,26,1635,0.0160683
MOGA2,generada.dat,GW,23,2340,0.0483792
GreedyMO,generada.dat,-,7,1094,0.0873586
MOGA2WS,generada.dat,GW,5,1220,0.12047
MOGA2,generada.dat,E,29,2194,0.0403471
MOGA2WS,generada.dat,E,17,1186,0.0371638
MOGA2,generada.dat,UF,30,2436,0.0181655
MOGA2WS,generada.dat,UF,29,1858,0.0181655
GreedyMO,generada.dat,-,5,1106,0.0461727
MOGA2,generada.dat,GW,24,2532,0.0423756
MOGA2,generada.dat,E,30,2194,0.0383675
MOGA2WS,generada.dat,GW,6,1188,0.0682611
MOGA2WS,generada.dat,E,7,1200,0.060241
MOGA2,generada.dat,UF,30,2342,0.016129
MOGA2WS,generada.dat,UF,24,1938,0.0220965
GreedyMO,generada.dat,-,5,1084,0.0471757
MOGA2,generada.dat,GW,21,2546,0.0645572
MOGA2WS,generada.dat,GW,6,1242,0.0692822
MOGA2,generada.dat,E,29,2145,0.0282665
MOGA2,generada.dat,UF,29,2290,0.0181655
MOGA2WS,generada.dat,E,7,1312,0.0471918
MOGA2WS,generada.dat,UF,28,1947,0.018133
GreedyMO,generada.dat,-,7,986,0.0301145
MOGA2WS,generada.dat,GW,5,1206,0.0692822
