Greedy,generada.dat,-,5,1092,0.0511817
Greedy,generada.dat,-,6,1055,0.0592199
Greedy,generada.dat,-,5,1062,0.0351356
Greedy,generada.dat,-,6,1024,0.0301145
Greedy,generada.dat,-,6,981,0.0541948
Greedy,generada.dat,-,6,1062,0.0622451
Greedy,generada.dat,-,5,1044,0.0501807
Greedy,generada.dat,-,8,948,0.0522008
Greedy,generada.dat,-,6,1092,0.0561968
Greedy,generada.dat,-,6,1028,0.0391396
Greedy,generada.dat,-,6,961,0.0261206
Greedy,generada.dat,-,8,896,0.0240743
Greedy,generada.dat,-,6,1100,0.0471737
Greedy,generada.dat,-,6,986,0.0391678
Greedy,generada.dat,-,6,1066,0.0582109
Greedy,generada.dat,-,5,1056,0.0501807
Greedy,generada.dat,-,6,1052,0.056231
Greedy,generada.dat,-,6,948,0.0541948
Greedy,generada.dat,-,6,1026,0.0371335
Greedy,generada.dat,-,7,929,0.0391517
Greedy,generada.dat,-,7,964,0.0261045
Greedy,generada.dat,-,6,1019,0.0441707
Greedy,generada.dat,-,5,1122,0.0813184
Greedy,generada.dat,-,6,1010,0.0321326
Greedy,generada.dat,-,6,971,0.055222
Greedy,generada.dat,-,5,1100,0.0551958
Greedy,generada.dat,-,5,1118,0.0572099
Greedy,generada.dat,-,6,981,0.0431697
Greedy,generada.dat,-,7,1022,0.0351134
Greedy,generada.dat,-,5,1084,0.11045
Greedy,generada.dat,-,5,1134,0.068245
Greedy,generada.dat,-,6,912,0.0250873
Greedy,generada.dat,-,6,990,0.0301145
Greedy,generada.dat,-,6,1050,0.059228
Greedy,generada.dat,-,8,998,0.0451818
Greedy,generada.dat,-,5,1098,0.0592219
Greedy,generada.dat,-,7,1038,0.0401386
Greedy,generada.dat,-,8,921,0.0321326
Greedy,generada.dat,-,7,1025,0.0381386
Greedy,generada.dat,-,6,1030,0.0361366
Greedy,generada.dat,-,5,1146,0.058237
Greedy,generada.dat,-,9,860,0.0190834
Greedy,generada.dat,-,9,974,0.0391456
Greedy,generada.dat,-,6,973,0.0541948
Greedy,generada.dat,-,6,1052,0.0511817
Greedy,generada.dat,-,6,999,0.0491797
